Skill,Coefficient,SalaryImpact
Skill_cloud,1839.0626759042316,0.015804166024901235
Skill_node.js,1790.9328986776245,0.015390558049492345
Skill_word,1579.6018085885166,0.0135744635369171
Skill_spark,1489.6057511230047,0.012801073563640533
Skill_gcp,1212.680360043234,0.010421287972601053
Skill_jira,930.2215465995919,0.00799395037212202
Skill_power_bi,883.5819740315699,0.007593148617046963
Skill_unix,853.5997898255519,0.007335493767547013
Skill_swift,493.3101564512199,0.004239309359313578
Skill_ai,26.681193613298092,0.00022928746210336122
Skill_postgres,-75.57987099948286,-0.0006495030566748597
Skill_apache,-214.43477535584316,-0.0018427663372428882
Skill_t-sql,-313.2796618693392,-0.0026921995934551745
Skill_redis,-371.27505932605527,-0.003190588746851166
Skill_xml,-1610.6945969317485,-0.013841662472326922
Skill_sharepoint,-1801.0872194961034,-0.015477820204386792
Skill_powerpoint,-2167.4304503990197,-0.01862602679851046
Skill_postgresql,-2460.313458947393,-0.021142945745111982
Skill_github,-2544.2254216997667,-0.021864051451942663
Skill_atlassian,-2725.8295154259795,-0.023424684096852177
Skill_scrum,-2891.184399616952,-0.024845677561089352
Skill_database,-3056.216253744953,-0.026263895034702
Skill_ci/cd,-3381.4000558011066,-0.02905839402793354
Skill_bi,-3766.478802504218,-0.03236760612021015
Skill_coding,-3894.5547808526308,-0.03346823963974191
Skill_etl,-3905.3494057492717,-0.03356100431072256
Skill_gitlab,-4192.465905846012,-0.03602836819965929
Skill_r,-4308.858556781979,-0.03702859989571389
Skill_looker,-4353.466098813272,-0.037411939196468645
Skill_devops,-4450.40581074957,-0.03824500014752845
Skill_ssis,-4706.462072477615,-0.04044544482246367
Skill_data_lakes,-4746.504821796436,-0.040789556127978036
Skill_agile,-5016.287071140725,-0.043107956427800374
Skill_macros,-5056.968553515567,-0.04345755674866762
Skill_outlook,-5206.324107198008,-0.04474105839223057
Skill_php,-5411.601406471584,-0.046505129057885175
Skill_tableau,-5945.605624302139,-0.05109414683697859
Skill_dax,-6327.109305694928,-0.05437263625381053
Skill_html,-6475.182803977655,-0.05564512042817263
Skill_sap,-6725.584013703067,-0.057796967857402175
Skill_bigquery,-6765.997537819487,-0.05814426545261502
Skill_vue.js,-7013.382460759416,-0.06027019212462347
Skill_redshift,-7549.918305370165,-0.06488096568750365
Skill_vue,-8143.055139200758,-0.06997814541942002
Skill_powerbi,-8322.861656797164,-0.0715233304170198
Skill_oracle,-8563.162754877283,-0.07358838154321755
Skill_vb.net,-8627.111945258104,-0.0741379352018168
Skill_sql,-8689.585841101565,-0.07467481077167577
Skill_git,-9213.31898773251,-0.07917556308998905
Skill_docker,-9377.778280529388,-0.08058886020147644
Skill_microsoft,-9732.109272774975,-0.08363383844098309
Skill_microstrategy,-9797.92888568867,-0.08419946575962317
Skill_bash,-10061.376707931337,-0.0864634305369925
Skill_c,-10118.369475291584,-0.08695320349001981
Skill_kanban,-10495.338513711045,-0.0901927240063607
Skill_agile/scrum,-10789.632371427007,-0.09272176722407752
Skill_alteryx,-13108.217382113793,-0.11264675560639274
Skill_kotlin,-14574.360991622747,-0.1252462049479627
Skill_pytorch,-15005.561270958804,-0.12895176696816962
Skill_scikit-learn,-17208.417630692158,-0.1478822298036018
Skill_iot,-17558.895161147324,-0.15089409294012454
Skill_numpy,-17823.2453220788,-0.15316581205378457
Skill_html5,-17863.12212438366,-0.15350849727730925
Skill_bitbucket,-18620.039665175216,-0.16001314262657557
Skill_excel,-23992.77387225091,-0.2061842625828549
Skill_perl,-26245.346153648163,-0.2255419640819563
